WordPress Price Update Report (Batch Mode)
================================================================================
Date: 2026-07-09 11:51:01
Excel File: C:\pythonstuff\wpimport\latest.xlsx
Max Batch Size: 90 products
Updates: Price + Custom Meta Fields (original_sku, replacement_avail, replacement_sku, date_updated)
================================================================================

SKU: B00004034 | Price: £0.98 | Products: 59
SKU: B00004035 | Price: £0.98 | Products: 44
SKU: B00004037 | Price: £1.49 | Products: 6
SKU: B00004038 | Price: £1.49 | Products: 7
SKU: B00004039 | Price: £2.01 | Products: 7
SKU: B00004040 | Price: £0.98 | Products: 52
SKU: B00004043 | Price: £0.98 | Products: 3
SKU: B00004084 | Price: £0.35 | Replacement: B00004035 | Products: 3
SKU: B00004085 | Price: £0.98 | Products: 339 (split into chunks)
SKU: B00004086 | Price: £1.54 | Products: 7
SKU: B00004087 | Price: £0.98 | Products: 20
SKU: B00004088 | Price: £1.49 | Products: 16
SKU: B00004090 | Price: £0.98 | Products: 45
SKU: B00004093 | Price: £2.57 | Products: 3
SKU: B00004096 | Price: £0.51 | Products: 36
SKU: B00004097 | Price: £0.51 | Products: 11
SKU: B00004098 | Price: £0.98 | Products: 8
SKU: B00004101 | Price: £0.98 | Products: 26
SKU: B00004105 | Price: £0.98 | Products: 57
SKU: B00004106 | Price: £0.98 | Products: 22
SKU: B00004108 | Price: £1.49 | Products: 48
SKU: B00004110 | Price: £0.98 | Products: 35
SKU: B00004111 | Price: £0.98 | Products: 32
SKU: B00004116 | Price: £0.98 | Products: 5
SKU: B00004121 | Price: £0.1 | Products: 2
SKU: B00004122 | Price: £0.51 | Products: 5
SKU: B00004124 | Price: £1.34 | Products: 5
SKU: B00004125 | Price: £1.8 | Products: 4
SKU: B00004128 | Price: £1.49 | Products: 22
SKU: B00004134 | Price: £2.01 | Products: 31
SKU: B00004135 | Price: £1.49 | Products: 13
SKU: B00004137 | Price: £0.98 | Products: 7
SKU: B00004142 | Price: £0.98 | Products: 23
SKU: B00004144 | Price: £2.01 | Products: 3
SKU: B00004145 | Price: £2.01 | Products: 5
SKU: B00004146 | Price: £1.8 | Products: 4
SKU: B00004147 | Price: £0.98 | Products: 7
SKU: B00004149 | Price: £0.98 | Products: 3
SKU: B00004150 | Price: £0.98 | Products: 3
SKU: B00004151 | Price: £1.49 | Products: 35
SKU: B00004152 | Price: £0.98 | Products: 46
SKU: B00004153 | Price: £1.49 | Products: 35
SKU: B00004191 | Price: £2.01 | Products: 11
SKU: B00004199 | Price: £0.98 | Products: 29
SKU: B00004204 | Price: £0.98 | Products: 12
SKU: B00004209 | Price: £0.98 | Products: 34
SKU: B00004212 | Price: £1.24 | Products: 4
SKU: B00004213 | Price: £1.8 | Products: 13
SKU: B00004268 | Price: £0.98 | Products: 4
SKU: B00004272 | Price: £0.98 | Products: 3
SKU: B00004273 | Price: £1.24 | Products: 47
SKU: B00004274 | Price: £0.23 | Replacement: B00004041 | Products: 8
SKU: B00004303 | Price: £0.98 | Products: 95 (split into chunks)
SKU: B00004305 | Price: £1.49 | Products: 1
SKU: B00004428 | Price: £0.98 | Products: 7
SKU: B00004455 | Price: £1.49 | Products: 16
SKU: B00004541 | Price: £2.01 | Products: 2
SKU: B00004606 | Price: £0.51 | Products: 11
SKU: B00004623 | Price: £0.98 | Products: 107 (split into chunks)
SKU: B00004624 | Price: £0.51 | Products: 61
SKU: B00004653 | Price: £1.03 | Products: 265 (split into chunks)
SKU: B00004678 | Price: £0.51 | Products: 12
SKU: B00004679 | Price: £1.49 | Products: 21
SKU: B00004680 | Price: £0.62 | Products: 1
SKU: B00004681 | Price: £0.98 | Products: 25
SKU: B00004682 | Price: £0.98 | Products: 30
